,Unnamed: 0,rank,name,headquarter,category,description,link,year
17,17,18,Haelixa AG,Kemptthal,Biotech,Reliable product identification through DNA technology,https://www.top100startups.swiss/Haelixa,2020
18,18,19,Skribble AG,Zurich,ICT,Digital signature solution,https://www.top100startups.swiss/Skribble,2020
19,19,20,yamo AG,Zug,Foodtech,Good Food for Kids. Made easy with yamo.,https://www.top100startups.swiss/yamo,2020
20,20,21,Bring! Labs AG,Zürich,ICT,Bring! simplifies grocery shopping for you,https://www.top100startups.swiss/Bring,2020
21,21,22,Avrios International AG,Zürich,ICT,We make mobility work for business,https://www.top100startups.swiss/Avrios,2020
22,22,23,Loanboox GmbH,Zürich,Fintech,European debt capital market platform,https://www.top100startups.swiss/Loanboox,2020
23,23,24,PriceHubble AG,Zürich,Proptech,Big data and artificial intelligence for real estate markets,https://www.top100startups.swiss/PriceHubble,2020
24,24,25,MOBBOT SA,Fribourg,Proptech,Mobile 3D concrete printing systems,https://www.top100startups.swiss/MOBBOT,2020
25,25,26,Annaida Technologies SA,Lausanne,Biotech,Non invasive chemical analysis at embryo scale,https://www.top100startups.swiss/Annaida,2020
26,26,27,PharmaBiome AG,Zürich,Biotech,Next Generation Microbiome Therapies,https://www.top100startups.swiss/PharmaBiome,2020
27,27,28,PXL Vision AG ,Zürich,Security,Scalable software platform for secure identity verification,https://www.top100startups.swiss/PXL,2020
28,28,29,Volumina Medical SA,Epalinges,Medtech,Dynamic biomaterials for reconstructive and plastic surgery,https://www.top100startups.swiss/Volumina,2020
29,29,30,LuckaBox Logistics AG,Winterthur,ICT,SAAS Last Mile Digital Forwarder for Enterprises,https://www.top100startups.swiss/LuckaBox,2020
30,30,31,DeepCode AG ,Zurich,ICT,Enabling developers with existing open source software,https://www.top100startups.swiss/DeepCode,2020
31,31,32,Dotphoton AG,Zug,ICT,Reliable image data for critical applications and AI,https://www.top100startups.swiss/Dotphoton,2020
32,32,33,neon Switzerland AG,Zürich,Fintech,Mobile Banking solution,https://www.top100startups.swiss/Neon,2020
33,33,34,aktiia SA,Neuchatel,Medtech,Reinventing Blood Pressure Monitoring,https://www.top100startups.swiss/aktiia,2020
34,34,35,inyova AG,Zurich,Fintech,We create a more sustainable world through investing,https://www.top100startups.swiss/Inyova,2020
35,35,36,ONWARD Medical SA,Lausanne,Biotech,Enabling nervous system rewiring,https://www.top100startups.swiss/Onward,2020
36,36,37,Planted Foods AG,Kemptthal,Foodtech,Planted meats,https://www.top100startups.swiss/Planted,2020
37,37,38,Sevensense Robotics AG,Zürich,Robotics,Visual navigation for the next generation of service robots.,https://www.top100startups.swiss/Sevensense,2020
38,38,39,Yokoy Group AG,Zurich,Fintech,Your expenses and company credit cards on autopilot,https://www.top100startups.swiss/yokoy,2020
39,39,40,INVOLI SA,Renens,ICT,Enabling the safe integration of drones into the airspace,https://www.top100startups.swiss/INVOLI,2020
40,40,41,ANYbotics AG,Zürich,Robotics,Autonomous robots for industrial inspection,https://www.top100startups.swiss/ANYbotics,2020
41,41,42,Nomoko AG,Zurich,ICT,Creating a digital twin of the world,https://www.top100startups.swiss/Nomoko,2020
42,42,43,HAYA Therapeutics SA,Epalinges,Biotech,Treating heart failure through innovative RNA-therapies,https://www.top100startups.swiss/HAYA,2020
43,43,44,Oculis SA,Lausanne,Biotech,Next Generation of Topical Ophthalmic Treatments,https://www.top100startups.swiss/Oculis,2020
44,44,45,Apiax AG,Zürich,Fintech,Removing barriers with embedded compliance,https://www.top100startups.swiss/Apiax,2020
45,45,46,Futurae Technologies AG,Zurich,Security,Secure Authentication for users has never been easier,https://www.top100startups.swiss/Futurae,2020
46,46,47,Microcaps AG,Zurich-Schlieren,Engineering,Microencapsulation at Swiss Precision,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=18261,2020
47,47,48,Neural Concept SA,Lausanne,ICT,Optimizing engineering processes,https://www.top100startups.swiss/Neural,2020
48,48,49,Versameb AG ,Basel,Biotech,The next generation of RNA therapeutics,https://www.top100startups.swiss/Versameb,2020
49,49,50,Olympe SA,Lausanne,ICT,The best composition platform in the market,https://www.top100startups.swiss/Olympe,2020
50,50,51,GUURU Solutions AG,Zürich,ICT,Customer Service. Automated and with human touch,https://www.top100startups.swiss/guuru,2020
51,51,52,T3 Pharmaceuticals AG,Allschwil,Biotech,Developing the next generation bacterial cancer therapy,https://www.top100startups.swiss/T3,2020
52,52,53,Topadur Pharma AG,Schlieren,Biotech,Disruptive drugs for aging diseases,https://www.top100startups.swiss/Topadur,2020
53,53,54,Nexxiot AG,Zürich,Engineering,enabler of the digitized supply chain,https://www.top100startups.swiss/Nexxiot,2020
54,54,55,Voliro AG,Zürich,Robotics,Aerial robots for in-depth inspection and maintenance,https://www.top100startups.swiss/Voliro,2020
55,55,56,Flybotix SA,Renens,Robotics,Doubling flight time of prof. indoor inspection drones,https://www.top100startups.swiss/Flybotix,2020
56,56,57,Dufour Aerospace AG,Visp,Robotics,Advanced electric aircraft,https://www.top100startups.swiss/DufourAerospace,2020
57,57,58,Archilyse AG,Zürich,Proptech,Archilyse.one makes your plans smart,https://www.top100startups.swiss/Archilyse,2020
58,58,59,MaxWell Biosystems AG,Zurich,Biotech,High-Content electrophysiology platforms,https://www.top100startups.swiss/MaxWell,2020
59,59,60,Perseo pharma AG,Muttenz,Biotech,Metabolic Therapies,https://www.top100startups.swiss/Perseo,2020
60,60,61,EraCal Therapeutics AG,Schlieren,Biotech,We develop the next generation anti-obesity drug,https://www.top100startups.swiss/EraCal,2020
61,61,62,CYSEC SA,Lausanne,Security,Confidential Computing solution for data in use protection,https://www.top100startups.swiss/CYSEC,2020
62,62,63,Synple Chem AG,Zurich,Biotech,Making synthesis of new molecules as easy as capsule coffee,https://www.top100startups.swiss/Synple,2020
63,63,64,legartis technology AG,Zürich,ICT,Analyse your contracts in seconds,https://www.top100startups.swiss/Legartis,2020
64,64,65,AVAtronics SA,Lausanne,Engineering,Wideband Active Noise Cancellation (Hearables & Automotive),https://www.top100startups.swiss/AVAtronics,2020
65,65,66,Gmelius SA,Cointrin,ICT,Gmelius transforms Gmail into your company's workspace,https://www.top100startups.swiss/Gmelius,2020
66,66,67,Procsea SA,Lausanne,Foodtech,"A faster, easier and cheaper solution to trade seafood",https://www.top100startups.swiss/Procsea,2020
67,67,68,xorlab AG,Zürich,Security,Redefining enterprise communication security,https://www.top100startups.swiss/xorlab,2020
68,68,69,INPHER Sàrl,Lausanne,Security,Cryptographic Secret Computing® technology,https://www.top100startups.swiss/INPHER,2020
69,69,70,LARGO FILMS SA,Lausanne,ICT,Next generation storytelling,https://www.top100startups.swiss/Largo,2020
70,70,71,Scailyte AG,Basel,Biotech,Extracting knowledge from single-cell data to save lives,https://www.top100startups.swiss/Scailyte,2020
71,71,72,Altoida AG,Luzern,Medtech,Join us on our noble mission to better brain health,https://www.top100startups.swiss/Altoida,2020
72,72,73,Elthera AG,Schlieren,Biotech,Tailored cancer therapies,https://www.top100startups.swiss/Elthera,2020
73,73,74,Artiria Medical SA,Borex,Medtech,"We fight stroke, we save lives",https://www.top100startups.swiss/Artiria,2020
74,74,75,Miraex SA,Ecublens,Engineering,Photonic sensing and quantum solutions,https://www.top100startups.swiss/Miraex,2020
75,75,76,Auterion AG,Zürich,Robotics,Open source infrastructure for autonomous robots,https://www.top100startups.swiss/Auterion,2020
76,76,77,Instimatch Global AG,Zürich,Fintech,Global P2P Money Market Network,https://www.top100startups.swiss/InstimatchGlobal,2020
77,77,78,BitsaboutMe AG,Bern,ICT,Marketplace for saving and trading personal data,https://www.top100startups.swiss/BitsaboutMe,2020
78,78,79,Pregnolia AG,Schlieren,Medtech,Predicting the risk of premature birth,https://www.top100startups.swiss/Pregnolia,2020
79,79,80,RAW Labs SA,Lausanne,ICT,Empowering enterprises to use their resources wisely,https://www.top100startups.swiss/RAW,2020
80,80,81,IDUN Technologies AG,Opfikon,Medtech,Enabling the Internet of Humans,https://www.top100startups.swiss/IDUN,2020
81,81,82,Fixposition AG,Schlieren,Robotics,Precise Positioning Everywhere.,https://www.top100startups.swiss/Fixposition,2020
82,82,83,SwissDeCode SA,Lausanne,Foodtech,Secure and Build Trust in the Global Food Supply Chain,https://www.top100startups.swiss/SwissDeCode,2020
83,83,84,TestingTime AG,Zürich,ICT,We recruit test users for user and market research,https://www.top100startups.swiss/TestingTime,2020
84,84,85,Nagi Bioscience SA,Ecublens,Biotech,“Organism-on-Chip” technology for drug/chemical screening,https://www.top100startups.swiss/Nagi,2020
85,85,86,Sygnum Bank AG,Zurich,Fintech,Digital asset specialist with global reach,https://www.top100startups.swiss/Sygnum,2020
86,86,87,Taurus SA,Geneva,Fintech,Swiss digital asset custody solution,https://www.top100startups.swiss/Taurus,2020
87,87,88,Daphne Technology SA,St-Sulpice VD,Cleantech,Climate tech comp reducing toxic pollutants & GHG emissions,https://www.top100startups.swiss/Daphne,2020
88,88,89,Anaveon AG,Basel,Biotech,Immunotherapies for cancer,https://www.top100startups.swiss/Anaveon,2020
89,89,90,hemotune AG,Schlieren,Medtech,Magnetic Blood Purification,https://www.top100startups.swiss/hemotune,2020
90,90,91,Imverse SA,Morges,ICT,3D Holograms: real-time volumetric video for telepresence,https://www.top100startups.swiss/Imverse,2020
91,91,92,GRZ Technologies AG,Grolley,Cleantech,Metal hydride hydrogen storage solution,https://www.top100startups.swiss/GRZ,2020
92,92,93,holo one AG,Lenzburg,ICT,The Augmented Reality Standard for Enterprises,https://www.top100startups.swiss/holo,2020
93,93,94,Seervision AG,Zurich,Engineering,We make any camera autonomous,https://www.top100startups.swiss/Seervision,2020
94,94,95,SONECT AG,Zürich,Fintech,"Through Sonect, every store becomes an ATM",https://www.top100startups.swiss/SONECT,2020
95,95,96,ASPIVIX SA,Renens,Medtech,Modern Gynecological Products for Women's Health,https://www.top100startups.swiss/ASPIVIX,2020
96,96,97,MyCamper AG,Basel,ICT,Sharing platform for campers,https://www.top100startups.swiss/myCamper,2020
97,97,98,DePoly SA,Sion,Cleantech,Closing the loop on PET plastic recycling,https://www.top100startups.swiss/DePoly,2020
98,98,99,advaisor AG,Zürich,ICT,We make corporate culture measurable,https://www.top100startups.swiss/advAIsor,2020
99,99,100,Anapaya Systems AG,Zurich,Security,Securing and Optimizing Internet Communication,https://www.top100startups.swiss/Anapaya,2020
0,0,1,Flyability SA,Paudex,Robotics,Drone-based inspection solutions,https://www.top100startups.swiss/Flyability,2019
1,1,2,Lunaphore Technologies SA,Tolochenaz,Medtech,Tumor analysis platform,https://www.top100startups.swiss/Lunaphore,2019
2,2,3,Ava AG,Zürich,Medtech,Ovulation tracking bracelet,https://www.top100startups.swiss/Ava,2019
3,3,4,Wingtra AG,Zürich,Robotics,"Fly like an airplane, take-off and land like a helicopter",https://www.top100startups.swiss/Wingtra,2019
4,4,5,Bestmile SA,Lausanne,ICT,Fleet automation platform,https://www.top100startups.swiss/Bestmile,2019
5,5,6,CUTISS AG,Schlieren,Biotech,Personalized skin,https://www.top100startups.swiss/CUTISS,2019
6,6,7,Gamaya SA,Morges,Robotics,Digital agronomy solutions for large farming businesses,https://www.top100startups.swiss/Gamaya,2019
7,7,8,Piavita AG,Zürich,Medtech,Daily assistant for equine veterinarians,https://www.top100startups.swiss/Piavita,2019
8,8,9,Advanon AG ,Zürich,Fintech,Disrupting the invoicing market,https://www.top100startups.swiss/Advanon,2019
9,9,10,9T Labs AG,Zürich,Engineering,3D carbon fiber printing technology,https://www.top100startups.swiss/9T,2019
10,10,11,Versantis AG,Zürich,Biotech,Conquer liver diseases and saves lives,https://www.top100startups.swiss/Versantis,2019
11,11,12,Astrocast SA,Chavannes-près-Renens,Engineering,Astrocast is a global nano-satellite IoT network,https://www.top100startups.swiss/Astrocast,2019
12,12,13,Ledgy AG,Zurich,Fintech,Your equity set for growth,https://www.top100startups.swiss/Ledgy,2019
13,13,14,Polyneuron Pharmaceuticals AG,Basel,Biotech,New drug class for the treatment of autoimmune diseases,https://www.top100startups.swiss/Polyneuron,2019
14,14,15,Volumina Medical SA,Epalinges,Medtech,Dynamic biomaterials for reconstructive and plastic surgery,https://www.top100startups.swiss/Volumina,2019
15,15,16,TOLREMO therapeutics AG,Muttenz,Biotech,Development of resistance-breaking cancer therapies,https://www.top100startups.swiss/TOLREMO,2019
16,16,17,Crypto Finance AG,Zug,Fintech,Transforming financial services,https://www.top100startups.swiss/CryptoFinance,2019
17,17,18,Bring! Labs AG,Zürich,ICT,Bring! simplifies grocery shopping for you,https://www.top100startups.swiss/Bring,2019
18,18,19,Cellestia Biotech AG,Basel,Biotech,Developing First-in-Class therapies for cancer and AIIDs.,https://www.top100startups.swiss/Cellestia,2019
19,19,20,Fixposition AG,Schlieren,Robotics,Precise Positioning Everywhere.,https://www.top100startups.swiss/Fixposition,2019
20,20,21,Exeon Analytics AG,Zürich,Security,Exeon Analytics detects hidden cyber threats,https://www.top100startups.swiss/Exeon,2019
21,21,22,Daphne Technology SA,St-Sulpice VD,Cleantech,Climate tech comp reducing toxic pollutants & GHG emissions,https://www.top100startups.swiss/Daphne,2019
22,22,23,CREAL SA,Ecublens,Engineering,Enabling Augmented Reality within arm's reach,https://www.top100startups.swiss/CREAL,2019
23,23,24,T3 Pharmaceuticals AG,Allschwil,Biotech,Developing the next generation bacterial cancer therapy,https://www.top100startups.swiss/T3,2019
24,24,25,yamo AG,Zug,Foodtech,Good Food for Kids. Made easy with yamo.,https://www.top100startups.swiss/yamo,2019
25,25,26,OrbiWise SA,Plan-Les-Ouates,ICT,Full solutions for the internet of things,https://www.top100startups.swiss/OrbiWise,2019
26,26,27,Proton SA,Plan-les-Ouates,Security,Secure e-mail,https://www.top100startups.swiss/Proton,2019
27,27,28,Insolight SA,Renens,Cleantech,Solar modules designed for agrivoltaics,https://www.top100startups.swiss/Insolight,2019
28,28,29,Imverse SA,Morges,ICT,3D Holograms: real-time volumetric video for telepresence,https://www.top100startups.swiss/Imverse,2019
29,29,30,aktiia SA,Neuchatel,Medtech,Reinventing Blood Pressure Monitoring,https://www.top100startups.swiss/aktiia,2019
30,30,31,Carvolution AG,Bannwil,ICT,Car Subscription Model for Switzerland,https://www.top100startups.swiss/Carvolution,2019
31,31,32,PXL Vision AG ,Zürich,Security,Scalable software platform for secure identity verification,https://www.top100startups.swiss/PXL,2019
32,32,33,MaxWell Biosystems AG,Zurich,Biotech,High-Content electrophysiology platforms,https://www.top100startups.swiss/MaxWell,2019
33,33,34,Resistell AG,Muttenz,Medtech,Revolutionary alternative for antibiotic susceptibility testing,https://www.top100startups.swiss/Resistell,2019
34,34,35,TestingTime AG,Zürich,ICT,We recruit test users for user and market research,https://www.top100startups.swiss/TestingTime,2019
35,35,36,ARTIDIS AG,Basel,Medtech,Nanotechnology tool for cancer diagnosis and treatment,https://www.top100startups.swiss/ARTIDIS,2019
36,36,37,Anaveon AG,Basel,Biotech,Immunotherapies for cancer,https://www.top100startups.swiss/Anaveon,2019
37,37,38,GUURU Solutions AG,Zürich,ICT,Customer Service. Automated and with human touch,https://www.top100startups.swiss/guuru,2019
38,38,39,AlgoTrader AG,Zürich,Fintech,The leading digital asset banking solution,https://www.top100startups.swiss/AlgoTrader,2019
39,39,40,Nanoleq AG,Rümlang,Engineering,The future of health-monitoring textiles,https://www.top100startups.swiss/Nanoleq,2019
40,40,41,Loanboox GmbH,Zürich,Fintech,European debt capital market platform,https://www.top100startups.swiss/Loanboox,2019
41,41,42,Nomoko AG,Zurich,ICT,Creating a digital twin of the world,https://www.top100startups.swiss/Nomoko,2019
42,42,43,Dotphoton AG,Zug,ICT,Reliable image data for critical applications and AI,https://www.top100startups.swiss/Dotphoton,2019
43,43,44,Inositec AG,Zurich,Biotech,Developing small molecules to address unmet medical needs,https://www.top100startups.swiss/Inositec,2019
44,44,45,CodeCheck AG,Zürich,ICT,Shopping assistant for a conscious lifestyle,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7520,2019
45,45,46,AgroSustain SA,Renens,Foodtech,AgroSustain – a one-stop-shop solution for biological plant,https://www.top100startups.swiss/AgroSustain,2019
46,46,47,Scailyte AG,Basel,Biotech,Extracting knowledge from single-cell data to save lives,https://www.top100startups.swiss/Scailyte,2019
47,47,48,PriceHubble AG,Zürich,Proptech,Big data and artificial intelligence for real estate markets,https://www.top100startups.swiss/PriceHubble,2019
48,48,49,Peripal AG,Zürich,Medtech,Patient connection device for home dialysis,https://www.top100startups.swiss/Peripal,2019
49,49,50,Eyeware Tech SA,Martigny,ICT,Attention Sensing with 3D Eye Tracking,https://www.top100startups.swiss/Eyeware,2019
50,50,51,xorlab AG,Zürich,Security,Redefining enterprise communication security,https://www.top100startups.swiss/xorlab,2019
51,51,52,Locatee AG,Zürich,Proptech,Workplace Analytics Solution,https://www.top100startups.swiss/Locatee,2019
52,52,53,AAAccell AG ,Zürich,Fintech,Cutting-edge technology in asset and risk management,https://www.top100startups.swiss/AAAccell,2019
53,53,54,Diamond Digital AG ,Feusisberg,Fintech,The next generation in Commodity Finance,https://www.top100startups.swiss/dmcoin,2019
54,54,55,GRZ Technologies AG,Grolley,Cleantech,Metal hydride hydrogen storage solution,https://www.top100startups.swiss/GRZ,2019
55,55,56,LIGENTEC SA,Ecublens,Engineering,Photonic Integrated Circuits (PIC) in high-tech,https://www.top100startups.swiss/LiGenTec,2019
56,56,57,Olympe SA,Lausanne,ICT,The best composition platform in the market,https://www.top100startups.swiss/Olympe,2019
57,57,58,Scewo AG,Winterthur,Medtech,Stair climbing wheelchair,https://www.top100startups.swiss/scewo,2019
58,58,59,Apiax AG,Zürich,Fintech,Removing barriers with embedded compliance,https://www.top100startups.swiss/Apiax,2019
59,59,60,ANYbotics AG,Zürich,Robotics,Autonomous robots for industrial inspection,https://www.top100startups.swiss/ANYbotics,2019
60,60,61,H55 AG,Sion,Engineering,Electric propulsion technologies,https://www.top100startups.swiss/H55,2019
61,61,62,EBAMed SA,Geneva,Medtech,Non-invasive and automated treatments of heart arrhythmias,https://www.top100startups.swiss/EBAMed,2019
62,62,63,Crypto Real Estate AG (SwissRealCoin) ,Zug,Proptech,Real estate crypto token,https://www.top100startups.swiss/CryptoRealEstate,2019
63,63,64,Qnami AG,Muttenz,Engineering,The quantum wave,https://www.top100startups.swiss/Qnami,2019
64,64,65,LuckaBox Logistics AG,Winterthur,ICT,SAAS Last Mile Digital Forwarder for Enterprises,https://www.top100startups.swiss/LuckaBox,2019
65,65,66,InterAx Biotech AG,Villigen,Biotech,Reinventing GPCR drug discovery,https://www.top100startups.swiss/InterAx,2019
66,66,67,SwissDeCode SA,Lausanne,Foodtech,Secure and Build Trust in the Global Food Supply Chain,https://www.top100startups.swiss/SwissDeCode,2019
67,67,68,FAIRTIQ Ltd,Bern,ICT,Public transport made easy with mobile ticketing solutions,https://www.top100startups.swiss/FAIRTIQ,2019
68,68,69,Topadur Pharma AG,Schlieren,Biotech,Disruptive drugs for aging diseases,https://www.top100startups.swiss/Topadur,2019
69,69,70,PharmaBiome AG,Zürich,Biotech,Next Generation Microbiome Therapies,https://www.top100startups.swiss/PharmaBiome,2019
70,70,71,Avrios International AG,Zürich,ICT,We make mobility work for business,https://www.top100startups.swiss/Avrios,2019
71,71,72,Perspective Robotics AG (Fotokite),San Francisco,Robotics,Real-time situational intelligence that helps save lives.,https://www.top100startups.swiss/Perspective,2019
72,72,73,Skribble AG,Zurich,ICT,Digital signature solution,https://www.top100startups.swiss/Skribble,2019
73,73,74,Futurae Technologies AG,Zurich,Security,Secure Authentication for users has never been easier,https://www.top100startups.swiss/Futurae,2019
74,74,75,Seervision AG,Zurich,Engineering,We make any camera autonomous,https://www.top100startups.swiss/Seervision,2019
75,75,76,SONECT AG,Zürich,Fintech,"Through Sonect, every store becomes an ATM",https://www.top100startups.swiss/SONECT,2019
76,76,77,Elthera AG,Schlieren,Biotech,Tailored cancer therapies,https://www.top100startups.swiss/Elthera,2019
77,77,78,uniqFEED AG,Glattbrugg,ICT,Entirely software-based virtual advertising technology,https://www.top100startups.swiss/uniqFEED,2019
78,78,79,Insightness AG ,Zürich,Engineering,Novel camera chips for interactive devices,https://www.top100startups.swiss/Insightness,2019
79,79,80,Spectroplast AG,Schlieren,Engineering,Introducing Silicone to the World of 3D Printing,https://www.top100startups.swiss/Spectroplast,2019
80,80,81,Crowdhouse AG,Zürich,Proptech,"First real-estate platform, which enables everybody to invest in properties all over Switzerland",https://www.top100startups.swiss/Crowdhouse,2019
81,81,82,ScanTrust SA,Lausanne,ICT,Protection from counterfeiting,https://www.top100startups.swiss/ScanTrust,2019
82,82,83,Nanogence SA ,Lausanne ,Cleantech,Creating material solutions for a sustainable world,https://www.top100startups.swiss/Nanogence,2019
83,83,84,Auterion AG,Zürich,Robotics,Open source infrastructure for autonomous robots,https://www.top100startups.swiss/Auterion,2019
84,84,85,INVOLI SA,Renens,ICT,Enabling the safe integration of drones into the airspace,https://www.top100startups.swiss/INVOLI,2019
85,85,86,Haelixa AG,Kemptthal,Biotech,Reliable product identification through DNA technology,https://www.top100startups.swiss/Haelixa,2019
86,86,87,MyCamper AG,Basel,ICT,Sharing platform for campers,https://www.top100startups.swiss/myCamper,2019
87,87,88,ONWARD Medical SA,Lausanne,Biotech,Enabling nervous system rewiring,https://www.top100startups.swiss/Onward,2019
88,88,89,Equippo AG,Zug,ICT,"Next-generation, full-service marketplace for equipment",https://www.top100startups.swiss/Equippo,2019
89,89,90,Farmy AG,Zürich,Foodtech,The online shop for regional and biological farming goods,https://www.top100startups.swiss/Farmy,2019
90,90,91,Araris Biotech AG,Au,Biotech,Building tomorrow's antibody-drug conjugates (ADCs),https://www.top100startups.swiss/Araris,2019
91,91,92,Sygnum Bank AG,Zurich,Fintech,Digital asset specialist with global reach,https://www.top100startups.swiss/Sygnum,2019
92,92,93,Dicronis Sagl,Monteggio,Medtech,Improving the quality of life of cancer patients,https://www.top100startups.swiss/Dicronis,2019
93,93,94,Mirrakoi SA,Lausanne,Medtech,3D models straight from medical images.,https://www.top100startups.swiss/Mirrakoi,2019
94,94,95,TwentyGreen AG,Lucerne,Biotech,Next-Generation Probiotic 10x better protection,https://www.top100startups.swiss/TwentyGreen,2019
95,95,96,Altoida AG,Luzern,Medtech,Join us on our noble mission to better brain health,https://www.top100startups.swiss/Altoida,2019
96,96,97,Pregnolia AG,Schlieren,Medtech,Predicting the risk of premature birth,https://www.top100startups.swiss/Pregnolia,2019
97,97,98,wefox Holding AG,Zürich,Fintech,Compare insurances and receive personal advice,https://www.top100startups.swiss/FinanceFox,2019
98,98,99,recapp IT AG,Visp,ICT,Spracherkennung in allen Schweizer Sprachen und Dialekten,https://www.top100startups.swiss/recapp,2019
99,99,100,OneVisage SA,Lausanne,Security,Sensitive Data Requires Premium Protection,https://www.top100startups.swiss/OneVisage,2019
0,0,1,Ava AG,Zürich,Medtech,Ovulation tracking bracelet,https://www.top100startups.swiss/Ava,2018
1,1,2,Bestmile SA,Lausanne,ICT,Fleet automation platform,https://www.top100startups.swiss/Bestmile,2018
2,2,3,Lunaphore Technologies SA,Tolochenaz,Medtech,Tumor analysis platform,https://www.top100startups.swiss/Lunaphore,2018
3,3,4,Flyability SA,Paudex,Robotics,Drone-based inspection solutions,https://www.top100startups.swiss/Flyability,2018
4,4,5,CUTISS AG,Schlieren,Biotech,Personalized skin,https://www.top100startups.swiss/CUTISS,2018
5,5,6,Piavita AG,Zürich,Medtech,Daily assistant for equine veterinarians,https://www.top100startups.swiss/Piavita,2018
6,6,7,Wingtra AG,Zürich,Robotics,"Fly like an airplane, take-off and land like a helicopter",https://www.top100startups.swiss/Wingtra,2018
7,7,8,Gamaya SA,Morges,Robotics,Digital agronomy solutions for large farming businesses,https://www.top100startups.swiss/Gamaya,2018
8,8,9,Advanon AG ,Zürich,Fintech,Disrupting the invoicing market,https://www.top100startups.swiss/Advanon,2018
9,9,10,Versantis AG,Zürich,Biotech,Conquer liver diseases and saves lives,https://www.top100startups.swiss/Versantis,2018
10,10,11,Allthings Technologies AG,Basel,Proptech,Allthings: For a better life in buildings,https://www.top100startups.swiss/Allthings,2018
11,11,12,Exeon Analytics AG,Zürich,Security,Exeon Analytics detects hidden cyber threats,https://www.top100startups.swiss/Exeon,2018
12,12,13,Nanolive SA,Ecublens,Medtech,Revolutionary tomographic microscope,https://www.top100startups.swiss/Nanolive,2018
13,13,14,Imverse SA,Morges,ICT,3D Holograms: real-time volumetric video for telepresence,https://www.top100startups.swiss/Imverse,2018
14,14,15,OrbiWise SA,Plan-Les-Ouates,ICT,Full solutions for the internet of things,https://www.top100startups.swiss/OrbiWise,2018
15,15,16,ScanTrust SA,Lausanne,ICT,Protection from counterfeiting,https://www.top100startups.swiss/ScanTrust,2018
16,16,17,TestingTime AG,Zürich,ICT,We recruit test users for user and market research,https://www.top100startups.swiss/TestingTime,2018
17,17,18,yamo AG,Zug,Foodtech,Good Food for Kids. Made easy with yamo.,https://www.top100startups.swiss/yamo,2018
18,18,19,CREAL SA,Ecublens,Engineering,Enabling Augmented Reality within arm's reach,https://www.top100startups.swiss/CREAL,2018
19,19,20,Crispr Therapeutics AG,Basel,Biotech,Developing cures for serious human genetic diseases,https://www.top100startups.swiss/Crispr,2018
20,20,21,Fixposition AG,Schlieren,Robotics,Precise Positioning Everywhere.,https://www.top100startups.swiss/Fixposition,2018
21,21,22,MaxWell Biosystems AG,Zurich,Biotech,High-Content electrophysiology platforms,https://www.top100startups.swiss/MaxWell,2018
22,22,23,Glycemicon AG,Brugg,Biotech,Managing blood glucose levels,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7498,2018
23,23,24,Perspective Robotics AG (Fotokite),San Francisco,Robotics,Real-time situational intelligence that helps save lives.,https://www.top100startups.swiss/Perspective,2018
24,24,25,Crypto Real Estate AG (SwissRealCoin) ,Zug,Proptech,Real estate crypto token,https://www.top100startups.swiss/CryptoRealEstate,2018
25,25,26,9T Labs AG,Zürich,Engineering,3D carbon fiber printing technology,https://www.top100startups.swiss/9T,2018
26,26,27,Insolight SA,Renens,Cleantech,Solar modules designed for agrivoltaics,https://www.top100startups.swiss/Insolight,2018
27,27,28,Proton SA,Plan-les-Ouates,Security,Secure e-mail,https://www.top100startups.swiss/Proton,2018
28,28,29,Bring! Labs AG,Zürich,ICT,Bring! simplifies grocery shopping for you,https://www.top100startups.swiss/Bring,2018
29,29,30,CodeCheck AG,Zürich,ICT,Shopping assistant for a conscious lifestyle,https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7520,2018
30,30,31,TOLREMO therapeutics AG,Muttenz,Biotech,Development of resistance-breaking cancer therapies,https://www.top100startups.swiss/TOLREMO,2018
31,31,32,xorlab AG,Zürich,Security,Redefining enterprise communication security,https://www.top100startups.swiss/xorlab,2018
32,32,33,Polyneuron Pharmaceuticals AG,Basel,Biotech,New drug class for the treatment of autoimmune diseases,https://www.top100startups.swiss/Polyneuron,2018
33,33,34,Fashwell AG ,Zürich,ICT,AI image recognition software,https://www.top100startups.swiss/Fashwell,2018
34,34,35,Daphne Technology SA,St-Sulpice VD,Cleantech,Climate tech comp reducing toxic pollutants & GHG emissions,https://www.top100startups.swiss/Daphne,2018
35,35,36,Altoida AG,Luzern,Medtech,Join us on our noble mission to better brain health,https://www.top100startups.swiss/Altoida,2018
36,36,37,Biowatch,Lausanne,Engineering,A wearable biometric technology as an alternative solution to current authentication methods,https://www.top100startups.swiss/Biowatch,2018
