rank;name;headquarter;category;description;link;year;plz;kanton;lan;lon
94;Seervision AG;Zurich;Engineering;We make any camera autonomous;https://www.top100startups.swiss/Seervision;2020;8001;ZH;8.541734555;47.37208749
95;SONECT AG;ZÃ¼rich;Fintech;Through Sonect, every store becomes an ATM;https://www.top100startups.swiss/SONECT;2020;8002;ZH;8.532739248;47.36007156
96;ASPIVIX SA;Renens;Medtech;Modern Gynecological Products for Women's Health;https://www.top100startups.swiss/ASPIVIX;2020;1020;VD;6.589670167;46.53527951
97;MyCamper AG;Basel;ICT;Sharing platform for campers;https://www.top100startups.swiss/myCamper;2020;4051;BS;7.586450708;47.55404534
98;DePoly SA;Sion;Cleantech;Closing the loop on PET plastic recycling;https://www.top100startups.swiss/DePoly;2020;1950;VS;7.354727167;46.22725387
99;advaisor AG;ZÃ¼rich;ICT;We make corporate culture measurable;https://www.top100startups.swiss/advAIsor;2020;8002;ZH;8.532739248;47.36007156
100;Anapaya Systems AG;Zurich;Security;Securing and Optimizing Internet Communication;https://www.top100startups.swiss/Anapaya;2020;8001;ZH;8.541734555;47.37208749
1;Flyability SA;Paudex;Robotics;Drone-based inspection solutions;https://www.top100startups.swiss/Flyability;2019;1094;VD;6.671544899;46.48280522
2;Lunaphore Technologies SA;Tolochenaz;Medtech;Tumor analysis platform;https://www.top100startups.swiss/Lunaphore;2019;1131;VD;6.492087528;46.48490786
3;Ava AG;ZÃ¼rich;Medtech;Ovulation tracking bracelet;https://www.top100startups.swiss/Ava;2019;8002;ZH;8.532739248;47.36007156
4;Wingtra AG;ZÃ¼rich;Robotics;Fly like an airplane, take-off and land like a helicopter;https://www.top100startups.swiss/Wingtra;2019;8002;ZH;8.532739248;47.36007156
5;Bestmile SA;Lausanne;ICT;Fleet automation platform;https://www.top100startups.swiss/Bestmile;2019;1011;VD;6.643319582;46.52555634
6;CUTISS AG;Schlieren;Biotech;Personalized skin;https://www.top100startups.swiss/CUTISS;2019;8952;ZH;8.449001596;47.39503416
7;Gamaya SA;Morges;Robotics;Digital agronomy solutions for large farming businesses;https://www.top100startups.swiss/Gamaya;2019;1110;VD;6.505456761;46.49496333
8;Piavita AG;ZÃ¼rich;Medtech;Daily assistant for equine veterinarians;https://www.top100startups.swiss/Piavita;2019;8002;ZH;8.532739248;47.36007156
9;Advanon AG ;ZÃ¼rich;Fintech;Disrupting the invoicing market;https://www.top100startups.swiss/Advanon;2019;8002;ZH;8.532739248;47.36007156
10;9T Labs AG;ZÃ¼rich;Engineering;3D carbon fiber printing technology;https://www.top100startups.swiss/9T;2019;8002;ZH;8.532739248;47.36007156
11;Versantis AG;ZÃ¼rich;Biotech;Conquer liver diseases and saves lives;https://www.top100startups.swiss/Versantis;2019;8002;ZH;8.532739248;47.36007156
12;Astrocast SA;Chavannes-prÃ¨s-Renens;Engineering;Astrocast is a global nano-satellite IoT network;https://www.top100startups.swiss/Astrocast;2019;1022;VD;6.575779266;46.52847042
13;Ledgy AG;Zurich;Fintech;Your equity set for growth;https://www.top100startups.swiss/Ledgy;2019;8001;ZH;8.541734555;47.37208749
14;Polyneuron Pharmaceuticals AG;Basel;Biotech;New drug class for the treatment of autoimmune diseases;https://www.top100startups.swiss/Polyneuron;2019;4051;BS;7.586450708;47.55404534
15;Volumina Medical SA;Epalinges;Medtech;Dynamic biomaterials for reconstructive and plastic surgery;https://www.top100startups.swiss/Volumina;2019;1066;VD;6.668508946;46.55070386
16;TOLREMO therapeutics AG;Muttenz;Biotech;Development of resistance-breaking cancer therapies;https://www.top100startups.swiss/TOLREMO;2019;4132;BL;7.648057403;47.52338801
17;Crypto Finance AG;Zug;Fintech;Transforming financial services;https://www.top100startups.swiss/CryptoFinance;2019;6300;ZG;8.503484562;47.16850232
18;Bring! Labs AG;ZÃ¼rich;ICT;Bring! simplifies grocery shopping for you;https://www.top100startups.swiss/Bring;2019;8002;ZH;8.532739248;47.36007156
19;Cellestia Biotech AG;Basel;Biotech;Developing First-in-Class therapies for cancer and AIIDs.;https://www.top100startups.swiss/Cellestia;2019;4051;BS;7.586450708;47.55404534
20;Fixposition AG;Schlieren;Robotics;Precise Positioning Everywhere.;https://www.top100startups.swiss/Fixposition;2019;8952;ZH;8.449001596;47.39503416
21;Exeon Analytics AG;ZÃ¼rich;Security;Exeon Analytics detects hidden cyber threats;https://www.top100startups.swiss/Exeon;2019;8002;ZH;8.532739248;47.36007156
22;Daphne Technology SA;St-Sulpice VD;Cleantech;Climate tech comp reducing toxic pollutants & GHG emissions;https://www.top100startups.swiss/Daphne;2019;1025;VD;6.562644978;46.48549127
23;CREAL SA;Ecublens;Engineering;Enabling Augmented Reality within arm's reach;https://www.top100startups.swiss/CREAL;2019;1024;VD;6.55861492;46.52883079
24;T3 Pharmaceuticals AG;Allschwil;Biotech;Developing the next generation bacterial cancer therapy;https://www.top100startups.swiss/T3;2019;4123;BL;7.53749744;47.54504996
25;yamo AG;Zug;Foodtech;Good Food for Kids. Made easy with yamo.;https://www.top100startups.swiss/yamo;2019;6300;ZG;8.503484562;47.16850232
26;OrbiWise SA;Plan-Les-Ouates;ICT;Full solutions for the internet of things;https://www.top100startups.swiss/OrbiWise;2019;1228;GE;6.118033239;46.16415897
27;Proton SA;Plan-les-Ouates;Security;Secure e-mail;https://www.top100startups.swiss/Proton;2019;1228;GE;6.118033239;46.16415897
28;Insolight SA;Renens;Cleantech;Solar modules designed for agrivoltaics;https://www.top100startups.swiss/Insolight;2019;1020;VD;6.589670167;46.53527951
29;Imverse SA;Morges;ICT;3D Holograms: real-time volumetric video for telepresence;https://www.top100startups.swiss/Imverse;2019;1110;VD;6.505456761;46.49496333
30;aktiia SA;Neuchatel;Medtech;Reinventing Blood Pressure Monitoring;https://www.top100startups.swiss/aktiia;2019;2000;NE;6.941331265;46.98844504
31;Carvolution AG;Bannwil;ICT;Car Subscription Model for Switzerland;https://www.top100startups.swiss/Carvolution;2019;4913;BE;7.730333214;47.2385039
32;PXL Vision AG ;ZÃ¼rich;Security;Scalable software platform for secure identity verification;https://www.top100startups.swiss/PXL;2019;8002;ZH;8.532739248;47.36007156
33;MaxWell Biosystems AG;Zurich;Biotech;High-Content electrophysiology platforms;https://www.top100startups.swiss/MaxWell;2019;8001;ZH;8.541734555;47.37208749
34;Resistell AG;Muttenz;Medtech;Revolutionary alternative for antibiotic susceptibility testing;https://www.top100startups.swiss/Resistell;2019;4132;BL;7.648057403;47.52338801
35;TestingTime AG;ZÃ¼rich;ICT;We recruit test users for user and market research;https://www.top100startups.swiss/TestingTime;2019;8002;ZH;8.532739248;47.36007156
36;ARTIDIS AG;Basel;Medtech;Nanotechnology tool for cancer diagnosis and treatment;https://www.top100startups.swiss/ARTIDIS;2019;4051;BS;7.586450708;47.55404534
37;Anaveon AG;Basel;Biotech;Immunotherapies for cancer;https://www.top100startups.swiss/Anaveon;2019;4051;BS;7.586450708;47.55404534
38;GUURU Solutions AG;ZÃ¼rich;ICT;Customer Service. Automated and with human touch;https://www.top100startups.swiss/guuru;2019;8002;ZH;8.532739248;47.36007156
39;AlgoTrader AG;ZÃ¼rich;Fintech;The leading digital asset banking solution;https://www.top100startups.swiss/AlgoTrader;2019;8002;ZH;8.532739248;47.36007156
40;Nanoleq AG;RÃ¼mlang;Engineering;The future of health-monitoring textiles;https://www.top100startups.swiss/Nanoleq;2019;8153;ZH;8.528807372;47.44750791
41;Loanboox GmbH;ZÃ¼rich;Fintech;European debt capital market platform;https://www.top100startups.swiss/Loanboox;2019;8002;ZH;8.532739248;47.36007156
42;Nomoko AG;Zurich;ICT;Creating a digital twin of the world;https://www.top100startups.swiss/Nomoko;2019;8001;ZH;8.541734555;47.37208749
43;Dotphoton AG;Zug;ICT;Reliable image data for critical applications and AI;https://www.top100startups.swiss/Dotphoton;2019;6300;ZG;8.503484562;47.16850232
44;Inositec AG;Zurich;Biotech;Developing small molecules to address unmet medical needs;https://www.top100startups.swiss/Inositec;2019;8001;ZH;8.541734555;47.37208749
45;CodeCheck AG;ZÃ¼rich;ICT;Shopping assistant for a conscious lifestyle;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7520;2019;8002;ZH;8.532739248;47.36007156
46;AgroSustain SA;Renens;Foodtech;AgroSustain â€“ a one-stop-shop solution for biological plant;https://www.top100startups.swiss/AgroSustain;2019;1020;VD;6.589670167;46.53527951
47;Scailyte AG;Basel;Biotech;Extracting knowledge from single-cell data to save lives;https://www.top100startups.swiss/Scailyte;2019;4051;BS;7.586450708;47.55404534
48;PriceHubble AG;ZÃ¼rich;Proptech;Big data and artificial intelligence for real estate markets;https://www.top100startups.swiss/PriceHubble;2019;8002;ZH;8.532739248;47.36007156
49;Peripal AG;ZÃ¼rich;Medtech;Patient connection device for home dialysis;https://www.top100startups.swiss/Peripal;2019;8002;ZH;8.532739248;47.36007156
50;Eyeware Tech SA;Martigny;ICT;Attention Sensing with 3D Eye Tracking;https://www.top100startups.swiss/Eyeware;2019;1920;VS;7.074542101;46.1094551
51;xorlab AG;ZÃ¼rich;Security;Redefining enterprise communication security;https://www.top100startups.swiss/xorlab;2019;8002;ZH;8.532739248;47.36007156
52;Locatee AG;ZÃ¼rich;Proptech;Workplace Analytics Solution;https://www.top100startups.swiss/Locatee;2019;8002;ZH;8.532739248;47.36007156
53;AAAccell AG ;ZÃ¼rich;Fintech;Cutting-edge technology in asset and risk management;https://www.top100startups.swiss/AAAccell;2019;8002;ZH;8.532739248;47.36007156
54;Diamond Digital AG ;Feusisberg;Fintech;The next generation in Commodity Finance;https://www.top100startups.swiss/dmcoin;2019;8835;SZ;8.75155946;47.18117766
55;GRZ Technologies AG;Grolley;Cleantech;Metal hydride hydrogen storage solution;https://www.top100startups.swiss/GRZ;2019;1772;FR;7.06575494;46.8347404
56;LIGENTEC SA;Ecublens;Engineering;Photonic Integrated Circuits (PIC) in high-tech;https://www.top100startups.swiss/LiGenTec;2019;1024;VD;6.55861492;46.52883079
57;Olympe SA;Lausanne;ICT;The best composition platform in the market;https://www.top100startups.swiss/Olympe;2019;1011;VD;6.643319582;46.52555634
58;Scewo AG;Winterthur;Medtech;Stair climbing wheelchair;https://www.top100startups.swiss/scewo;2019;8405;ZH;8.776009743;47.47804737
59;Apiax AG;ZÃ¼rich;Fintech;Removing barriers with embedded compliance;https://www.top100startups.swiss/Apiax;2019;8002;ZH;8.532739248;47.36007156
60;ANYbotics AG;ZÃ¼rich;Robotics;Autonomous robots for industrial inspection;https://www.top100startups.swiss/ANYbotics;2019;8002;ZH;8.532739248;47.36007156
61;H55 AG;Sion;Engineering;Electric propulsion technologies;https://www.top100startups.swiss/H55;2019;1950;VS;7.354727167;46.22725387
62;EBAMed SA;Geneva;Medtech;Non-invasive and automated treatments of heart arrhythmias;https://www.top100startups.swiss/EBAMed;2019;1208;GE;6.167579743;46.19844394
63;Crypto Real Estate AG (SwissRealCoin) ;Zug;Proptech;Real estate crypto token;https://www.top100startups.swiss/CryptoRealEstate;2019;6300;ZG;8.503484562;47.16850232
64;Qnami AG;Muttenz;Engineering;The quantum wave;https://www.top100startups.swiss/Qnami;2019;4132;BL;7.648057403;47.52338801
65;LuckaBox Logistics AG;Winterthur;ICT;SAAS Last Mile Digital Forwarder for Enterprises;https://www.top100startups.swiss/LuckaBox;2019;8405;ZH;8.776009743;47.47804737
66;InterAx Biotech AG;Villigen;Biotech;Reinventing GPCR drug discovery;https://www.top100startups.swiss/InterAx;2019;5234;AG;8.206268324;47.53006882
67;SwissDeCode SA;Lausanne;Foodtech;Secure and Build Trust in the Global Food Supply Chain;https://www.top100startups.swiss/SwissDeCode;2019;1011;VD;6.643319582;46.52555634
68;FAIRTIQ Ltd;Bern;ICT;Public transport made easy with mobile ticketing solutions;https://www.top100startups.swiss/FAIRTIQ;2019;3004;BE;7.450025042;46.97530372
69;Topadur Pharma AG;Schlieren;Biotech;Disruptive drugs for aging diseases;https://www.top100startups.swiss/Topadur;2019;8952;ZH;8.449001596;47.39503416
70;PharmaBiome AG;ZÃ¼rich;Biotech;Next Generation Microbiome Therapies;https://www.top100startups.swiss/PharmaBiome;2019;8002;ZH;8.532739248;47.36007156
71;Avrios International AG;ZÃ¼rich;ICT;We make mobility work for business;https://www.top100startups.swiss/Avrios;2019;8002;ZH;8.532739248;47.36007156
72;Perspective Robotics AG (Fotokite);San Francisco;Robotics;Real-time situational intelligence that helps save lives.;https://www.top100startups.swiss/Perspective;2019;#NV;#NV;#NV;#NV
73;Skribble AG;Zurich;ICT;Digital signature solution;https://www.top100startups.swiss/Skribble;2019;8001;ZH;8.541734555;47.37208749
74;Futurae Technologies AG;Zurich;Security;Secure Authentication for users has never been easier;https://www.top100startups.swiss/Futurae;2019;8001;ZH;8.541734555;47.37208749
75;Seervision AG;Zurich;Engineering;We make any camera autonomous;https://www.top100startups.swiss/Seervision;2019;8001;ZH;8.541734555;47.37208749
76;SONECT AG;ZÃ¼rich;Fintech;Through Sonect, every store becomes an ATM;https://www.top100startups.swiss/SONECT;2019;8002;ZH;8.532739248;47.36007156
77;Elthera AG;Schlieren;Biotech;Tailored cancer therapies;https://www.top100startups.swiss/Elthera;2019;8952;ZH;8.449001596;47.39503416
78;uniqFEED AG;Glattbrugg;ICT;Entirely software-based virtual advertising technology;https://www.top100startups.swiss/uniqFEED;2019;8152;ZH;8.562910786;47.43319518
79;Insightness AG ;ZÃ¼rich;Engineering;Novel camera chips for interactive devices;https://www.top100startups.swiss/Insightness;2019;8002;ZH;8.532739248;47.36007156
80;Spectroplast AG;Schlieren;Engineering;Introducing Silicone to the World of 3D Printing;https://www.top100startups.swiss/Spectroplast;2019;8952;ZH;8.449001596;47.39503416
81;Crowdhouse AG;ZÃ¼rich;Proptech;First real-estate platform, which enables everybody to invest in properties all over Switzerland;https://www.top100startups.swiss/Crowdhouse;2019;8002;ZH;8.532739248;47.36007156
82;ScanTrust SA;Lausanne;ICT;Protection from counterfeiting;https://www.top100startups.swiss/ScanTrust;2019;1011;VD;6.643319582;46.52555634
83;Nanogence SA ;Lausanne;Cleantech;Creating material solutions for a sustainable world;https://www.top100startups.swiss/Nanogence;2019;1011;VD;6.643319582;46.52555634
84;Auterion AG;ZÃ¼rich;Robotics;Open source infrastructure for autonomous robots;https://www.top100startups.swiss/Auterion;2019;8002;ZH;8.532739248;47.36007156
85;INVOLI SA;Renens;ICT;Enabling the safe integration of drones into the airspace;https://www.top100startups.swiss/INVOLI;2019;1020;VD;6.589670167;46.53527951
86;Haelixa AG;Kemptthal;Biotech;Reliable product identification through DNA technology;https://www.top100startups.swiss/Haelixa;2019;8310;ZH;8.71155229;47.45743914
87;MyCamper AG;Basel;ICT;Sharing platform for campers;https://www.top100startups.swiss/myCamper;2019;4051;BS;7.586450708;47.55404534
88;ONWARD Medical SA;Lausanne;Biotech;Enabling nervous system rewiring;https://www.top100startups.swiss/Onward;2019;1011;VD;6.643319582;46.52555634
89;Equippo AG;Zug;ICT;Next-generation, full-service marketplace for equipment;https://www.top100startups.swiss/Equippo;2019;6300;ZG;8.503484562;47.16850232
90;Farmy AG;ZÃ¼rich;Foodtech;The online shop for regional and biological farming goods;https://www.top100startups.swiss/Farmy;2019;8002;ZH;8.532739248;47.36007156
91;Araris Biotech AG;Au SG;Biotech;Building tomorrow's antibody-drug conjugates (ADCs);https://www.top100startups.swiss/Araris;2019;9434;SG;9.638968287;47.42971875
92;Sygnum Bank AG;Zurich;Fintech;Digital asset specialist with global reach;https://www.top100startups.swiss/Sygnum;2019;8001;ZH;8.541734555;47.37208749
93;Dicronis Sagl;Monteggio;Medtech;Improving the quality of life of cancer patients;https://www.top100startups.swiss/Dicronis;2019;6998;TI;8.803624098;45.99612272
94;Mirrakoi SA;Lausanne;Medtech;3D models straight from medical images.;https://www.top100startups.swiss/Mirrakoi;2019;1011;VD;6.643319582;46.52555634
95;TwentyGreen AG;Luzern;Biotech;Next-Generation Probiotic 10x better protection;https://www.top100startups.swiss/TwentyGreen;2019;6005;LU;8.313449981;47.03821966
96;Altoida AG;Luzern;Medtech;Join us on our noble mission to better brain health;https://www.top100startups.swiss/Altoida;2019;6005;LU;8.313449981;47.03821966
97;Pregnolia AG;Schlieren;Medtech;Predicting the risk of premature birth;https://www.top100startups.swiss/Pregnolia;2019;8952;ZH;8.449001596;47.39503416
98;wefox Holding AG;ZÃ¼rich;Fintech;Compare insurances and receive personal advice;https://www.top100startups.swiss/FinanceFox;2019;8002;ZH;8.532739248;47.36007156
99;recapp IT AG;Visp;ICT;Spracherkennung in allen Schweizer Sprachen und Dialekten;https://www.top100startups.swiss/recapp;2019;3930;VS;7.866951252;46.29120902
100;OneVisage SA;Lausanne;Security;Sensitive Data Requires Premium Protection;https://www.top100startups.swiss/OneVisage;2019;1011;VD;6.643319582;46.52555634
1;Ava AG;ZÃ¼rich;Medtech;Ovulation tracking bracelet;https://www.top100startups.swiss/Ava;2018;8002;ZH;8.532739248;47.36007156
2;Bestmile SA;Lausanne;ICT;Fleet automation platform;https://www.top100startups.swiss/Bestmile;2018;1011;VD;6.643319582;46.52555634
3;Lunaphore Technologies SA;Tolochenaz;Medtech;Tumor analysis platform;https://www.top100startups.swiss/Lunaphore;2018;1131;VD;6.492087528;46.48490786
4;Flyability SA;Paudex;Robotics;Drone-based inspection solutions;https://www.top100startups.swiss/Flyability;2018;1094;VD;6.671544899;46.48280522
5;CUTISS AG;Schlieren;Biotech;Personalized skin;https://www.top100startups.swiss/CUTISS;2018;8952;ZH;8.449001596;47.39503416
6;Piavita AG;ZÃ¼rich;Medtech;Daily assistant for equine veterinarians;https://www.top100startups.swiss/Piavita;2018;8002;ZH;8.532739248;47.36007156
7;Wingtra AG;ZÃ¼rich;Robotics;Fly like an airplane, take-off and land like a helicopter;https://www.top100startups.swiss/Wingtra;2018;8002;ZH;8.532739248;47.36007156
8;Gamaya SA;Morges;Robotics;Digital agronomy solutions for large farming businesses;https://www.top100startups.swiss/Gamaya;2018;1110;VD;6.505456761;46.49496333
9;Advanon AG ;ZÃ¼rich;Fintech;Disrupting the invoicing market;https://www.top100startups.swiss/Advanon;2018;8002;ZH;8.532739248;47.36007156
10;Versantis AG;ZÃ¼rich;Biotech;Conquer liver diseases and saves lives;https://www.top100startups.swiss/Versantis;2018;8002;ZH;8.532739248;47.36007156
11;Allthings Technologies AG;Basel;Proptech;Allthings: For a better life in buildings;https://www.top100startups.swiss/Allthings;2018;4051;BS;7.586450708;47.55404534
12;Exeon Analytics AG;ZÃ¼rich;Security;Exeon Analytics detects hidden cyber threats;https://www.top100startups.swiss/Exeon;2018;8002;ZH;8.532739248;47.36007156
13;Nanolive SA;Ecublens;Medtech;Revolutionary tomographic microscope;https://www.top100startups.swiss/Nanolive;2018;1024;VD;6.55861492;46.52883079
14;Imverse SA;Morges;ICT;3D Holograms: real-time volumetric video for telepresence;https://www.top100startups.swiss/Imverse;2018;1110;VD;6.505456761;46.49496333
15;OrbiWise SA;Plan-Les-Ouates;ICT;Full solutions for the internet of things;https://www.top100startups.swiss/OrbiWise;2018;1228;GE;6.118033239;46.16415897
16;ScanTrust SA;Lausanne;ICT;Protection from counterfeiting;https://www.top100startups.swiss/ScanTrust;2018;1011;VD;6.643319582;46.52555634
17;TestingTime AG;ZÃ¼rich;ICT;We recruit test users for user and market research;https://www.top100startups.swiss/TestingTime;2018;8002;ZH;8.532739248;47.36007156
18;yamo AG;Zug;Foodtech;Good Food for Kids. Made easy with yamo.;https://www.top100startups.swiss/yamo;2018;6300;ZG;8.503484562;47.16850232
19;CREAL SA;Ecublens;Engineering;Enabling Augmented Reality within arm's reach;https://www.top100startups.swiss/CREAL;2018;1024;VD;6.55861492;46.52883079
20;Crispr Therapeutics AG;Basel;Biotech;Developing cures for serious human genetic diseases;https://www.top100startups.swiss/Crispr;2018;4051;BS;7.586450708;47.55404534
21;Fixposition AG;Schlieren;Robotics;Precise Positioning Everywhere.;https://www.top100startups.swiss/Fixposition;2018;8952;ZH;8.449001596;47.39503416
22;MaxWell Biosystems AG;Zurich;Biotech;High-Content electrophysiology platforms;https://www.top100startups.swiss/MaxWell;2018;8001;ZH;8.541734555;47.37208749
23;Glycemicon AG;Brugg;Biotech;Managing blood glucose levels;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7498;2018;5200;AG;8.211196526;47.48639705
24;Perspective Robotics AG (Fotokite);San Francisco;Robotics;Real-time situational intelligence that helps save lives.;https://www.top100startups.swiss/Perspective;2018;#NV;#NV;#NV;#NV
25;Crypto Real Estate AG (SwissRealCoin) ;Zug;Proptech;Real estate crypto token;https://www.top100startups.swiss/CryptoRealEstate;2018;6300;ZG;8.503484562;47.16850232
26;9T Labs AG;ZÃ¼rich;Engineering;3D carbon fiber printing technology;https://www.top100startups.swiss/9T;2018;8002;ZH;8.532739248;47.36007156
27;Insolight SA;Renens;Cleantech;Solar modules designed for agrivoltaics;https://www.top100startups.swiss/Insolight;2018;1020;VD;6.589670167;46.53527951
28;Proton SA;Plan-les-Ouates;Security;Secure e-mail;https://www.top100startups.swiss/Proton;2018;1228;GE;6.118033239;46.16415897
29;Bring! Labs AG;ZÃ¼rich;ICT;Bring! simplifies grocery shopping for you;https://www.top100startups.swiss/Bring;2018;8002;ZH;8.532739248;47.36007156
30;CodeCheck AG;ZÃ¼rich;ICT;Shopping assistant for a conscious lifestyle;https://www.top100startups.swissindex.cfm?CFID=72313628&CFTOKEN=b25424f255d2862f-57043D28-C7D9-9B77-739FB33ACE36FC5F&page=136348&profil_id=7520;2018;8002;ZH;8.532739248;47.36007156
31;TOLREMO therapeutics AG;Muttenz;Biotech;Development of resistance-breaking cancer therapies;https://www.top100startups.swiss/TOLREMO;2018;4132;BL;7.648057403;47.52338801
32;xorlab AG;ZÃ¼rich;Security;Redefining enterprise communication security;https://www.top100startups.swiss/xorlab;2018;8002;ZH;8.532739248;47.36007156
33;Polyneuron Pharmaceuticals AG;Basel;Biotech;New drug class for the treatment of autoimmune diseases;https://www.top100startups.swiss/Polyneuron;2018;4051;BS;7.586450708;47.55404534
34;Fashwell AG ;ZÃ¼rich;ICT;AI image recognition software;https://www.top100startups.swiss/Fashwell;2018;8002;ZH;8.532739248;47.36007156
35;Daphne Technology SA;St-Sulpice VD;Cleantech;Climate tech comp reducing toxic pollutants & GHG emissions;https://www.top100startups.swiss/Daphne;2018;1025;VD;6.562644978;46.48549127
36;Altoida AG;Luzern;Medtech;Join us on our noble mission to better brain health;https://www.top100startups.swiss/Altoida;2018;6005;LU;8.313449981;47.03821966
37;Biowatch;Lausanne;Engineering;A wearable biometric technology as an alternative solution to current authentication methods;https://www.top100startups.swiss/Biowatch;2018;1011;VD;6.643319582;46.52555634
38;GUURU Solutions AG;ZÃ¼rich;ICT;Customer Service. Automated and with human touch;https://www.top100startups.swiss/guuru;2018;8002;ZH;8.532739248;47.36007156
39;Chimpy AG;ZÃ¼rich;Cleantech;Convenient recharging on the go;https://www.top100startups.swiss/Chimpy;2018;8002;ZH;8.532739248;47.36007156
40;PriceHubble AG;ZÃ¼rich;Proptech;Big data and artificial intelligence for real estate markets;https://www.top100startups.swiss/PriceHubble;2018;8002;ZH;8.532739248;47.36007156
41;Pregnolia AG;Schlieren;Medtech;Predicting the risk of premature birth;https://www.top100startups.swiss/Pregnolia;2018;8952;ZH;8.449001596;47.39503416
42;Inositec AG;Zurich;Biotech;Developing small molecules to address unmet medical needs;https://www.top100startups.swiss/Inositec;2018;8001;ZH;8.541734555;47.37208749
43;H55 AG;Sion;Engineering;Electric propulsion technologies;https://www.top100startups.swiss/H55;2018;1950;VS;7.354727167;46.22725387
44;PharmaBiome AG;ZÃ¼rich;Biotech;Next Generation Microbiome Therapies;https://www.top100startups.swiss/PharmaBiome;2018;8002;ZH;8.532739248;47.36007156
45;Leman Micro Devices SA;Lausanne;Engineering;Medically accurate health sensing for all mobile devices;https://www.top100startups.swiss/Leman;2018;1011;VD;6.643319582;46.52555634
46;Daedalean AG;ZÃ¼rich;Robotics;Autonomous flight control for the electric personal aircraft;https://www.top100startups.swiss/Daedalean;2018;8002;ZH;8.532739248;47.36007156
47;Avrios International AG;ZÃ¼rich;ICT;We make mobility work for business;https://www.top100startups.swiss/Avrios;2018;8002;ZH;8.532739248;47.36007156
48;Cellestia Biotech AG;Basel;Biotech;Developing First-in-Class therapies for cancer and AIIDs.;https://www.top100startups.swiss/Cellestia;2018;4051;BS;7.586450708;47.55404534
49;RealLook AG (Selfnation);ZÃ¼rich;ICT;Perfectly fitting trousers;https://www.top100startups.swiss/selfnation;2018;8002;ZH;8.532739248;47.36007156
50;VIU VENTURES AG;ZÃ¼rich;ICT;Challenging the established rules in the eyewear industry;https://www.top100startups.swiss/VIUVentures;2018;8002;ZH;8.532739248;47.36007156
51;GRZ Technologies AG;Grolley;Cleantech;Metal hydride hydrogen storage solution;https://www.top100startups.swiss/GRZ;2018;1772;FR;7.06575494;46.8347404
52;Astrocast SA;Chavannes-prÃ¨s-Renens;Engineering;Astrocast is a global nano-satellite IoT network;https://www.top100startups.swiss/Astrocast;2018;1022;VD;6.575779266;46.52847042
53;Farmy AG;ZÃ¼rich;Foodtech;The online shop for regional and biological farming goods;https://www.top100startups.swiss/Farmy;2018;8002;ZH;8.532739248;47.36007156
54;ANYbotics AG;ZÃ¼rich;Robotics;Autonomous robots for industrial inspection;https://www.top100startups.swiss/ANYbotics;2018;8002;ZH;8.532739248;47.36007156
55;Elthera AG;Schlieren;Biotech;Tailored cancer therapies;https://www.top100startups.swiss/Elthera;2018;8952;ZH;8.449001596;47.39503416
56;Frontify AG;St. Gallen;ICT;The platform for building powerful brand experience;https://www.top100startups.swiss/Frontify;2018;9012;SG;9.363594618;47.40957391
57;Loanboox GmbH;ZÃ¼rich;Fintech;European debt capital market platform;https://www.top100startups.swiss/Loanboox;2018;8002;ZH;8.532739248;47.36007156
58;Nomoko AG;Zurich;ICT;Creating a digital twin of the world;https://www.top100startups.swiss/Nomoko;2018;8001;ZH;8.541734555;47.37208749
59;Equippo AG;Zug;ICT;Next-generation, full-service marketplace for equipment;https://www.top100startups.swiss/Equippo;2018;6300;ZG;8.503484562;47.16850232
60;Carvolution AG;Bannwil;ICT;Car Subscription Model for Switzerland;https://www.top100startups.swiss/Carvolution;2018;4913;BE;7.730333214;47.2385039
61;Mirrakoi SA;Lausanne;Medtech;3D models straight from medical images.;https://www.top100startups.swiss/Mirrakoi;2018;1011;VD;6.643319582;46.52555634
62;GratXray AG;Villigen;Medtech;Painless and precise breast cancer imaging;https://www.top100startups.swiss/GratXray;2018;5234;AG;8.206268324;47.53006882
63;CLEVERDIST SA;Plan-les-Ouates;ICT;Design and integration of large control systems;https://www.top100startups.swiss/CLEVERDIST;2018;1228;GE;6.118033239;46.16415897
64;Vanguard Internet SA (Batmaid);Lausanne;ICT;The first vertical marketplace for home and office services in Switzerland;https://www.top100startups.swiss/Batmaid;2018;1011;VD;6.643319582;46.52555634
65;Apiax AG;ZÃ¼rich;Fintech;Removing barriers with embedded compliance;https://www.top100startups.swiss/Apiax;2018;8002;ZH;8.532739248;47.36007156
66;Melonport AG;Walchwil;Fintech;Blockchain software for asset management;https://www.top100startups.swiss/Melonport;2018;6318;ZG;8.530307216;47.10644866
67;CyanoGuard AG;Wädenswil;Engineering;Disrupting the global mining industry;https://www.top100startups.swiss/CyanoGuard;2018;8820;ZH;8.65959802;47.22388408
68;Dotphoton AG;Zug;ICT;Reliable image data for critical applications and AI;https://www.top100startups.swiss/Dotphoton;2018;6300;ZG;8.503484562;47.16850232
