,name,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,incorporated,long description,company_website,link
142,SwissDeCode SA,Foodtech,AgriTech,Biotech,Cloud,Food,,,,,,,,,,,,,,,,,April 2016,"Founded in 2016 with the vision to build trust along the food supply chain, SwissDeCode specialises in rapid food testing and certification, supporting companies in their traceability efforts by identifying undeclared ingredients and contaminants.  At the forefront of food quality, authentication and compliance, we offer a variety of rapid, on-site, testing solutions that help farmers, food manufacturers and authorities validate food authenticity claims in minutes, instead of days.",http://www.swissdecode.com/,https://www.top100startups.swiss/SwissDeCode
143,Embion Technologies SA,Biotech,AgriTech,Cleantech,Biotech,Interdisciplinary,Food,,,,,,,,,,,,,,,,January 2016,"Embion commercializes the next generation in biomass processing technology to meet the planet’s demand in nutrition, materials and energy supply. Our aim is to become the technology leader for producing natural, sustainable and high functionality products. With applications in food, feed, cosmetics, materials and beyond, Embion collaborates with industry leaders in their respectives fields to develop and commercialize innovative solutions.",https://embiontech.com/,https://www.top100startups.swiss/Embion
144,INERGIO Technologies SA,Engineering,Cleantech,Energy efficiency,Energy production,Drones,Energy storage,Renewable energy,Hardware,Micro technologies,IoT,Robotics,,,,,,,,,,,August 2020,"Fuel cells have significant potential to contribute to decarbonization objectives. In particular, Solid Oxide Fuel Cells have attracted considerable attention due to their high efficiency and fuel flexibility–a key feature for the energy transition. However, SOFC systems come at the expense of a high operating temperature, which makes them very challenging for small-scale and portable applications. INERGIO has developed the first miniaturized SOFC system to power mobile and remote applications. The technology is backed with 4 PCT applications. The unique design leads to 10x more Power-to-Weight ratio in comparison to current SOFCs. INERGIO has received a very strong interest from potential customers (+1k units/yr) and currently reached a TRL of 6 with having systems tested indoor/outdoors.",https://inergio.ch,https://www.top100startups.swiss/INERGIO
145,CompPair Technologies SA,Engineering,Automotive,Cleantech,Aviation and Aerospace,Energy storage,Materials,Renewable energy,Hardware,Sport,,,,,,,,,,,,,January 2020,"Inspired by nature, CompPair brings the healing capability of our flesh to composites: composites are now able to fully heal matrix damage in 1 minute. We help our clients build better products, that last longer, and produce less waste.  Our technology acts during the whole lifetime of products, helping manufacturers, consumers, and the planet. For manufacturers, CompPair makes production more efficient and brings a sustainable and quality differentiator to the market. For consumers, CompPair saves time and money with a fast repair keeping the integrity, the performance and the weight of the products. For the planet, CompPair reduces waste during production and repair while extending the lifetime of products and recycling them better.",https://comppair.ch/,https://www.top100startups.swiss/CompPair
146,legartis technology AG,ICT,Cloud,Fintech,Enterprise,Machine Learning / AI,Legal services,Services for companies,SaaS,Software,,,,,,,,,,,,,September 2017,"Legartis' AI-based Contract Intelligence solution makes legal document analysis efficient by helping professionals to identify, classify and understand contracts within seconds. Trained by legal experts and using the latest Machine Learning (ML) and Natural Language Processing (NLP) techniques, Legartis' multilingual AI solution is one of the most advanced for companies dealing with large amounts of legal documents. Legartis has a team of more than 30 people with business, legal and tech backgrounds and has offices in both Zurich and Lisbon. For more information, please visit www.legartis.ai",http://www.legartis.ai,https://www.top100startups.swiss/Legartis
147,Fixposition AG,Robotics,AgriTech,Automotive,Aviation and Aerospace,Hightech,Mobility,Hardware,Machine Learning / AI,Robotics,Sensors,Mobile,Research and development,Services for companies,Software,,,,,,,,August 2017,"Fixposition’s combination of cutting-edge computer vision techniques and leading satellite navigation know-how allows us to develop products that provide ultra-reliable high-precision positioning. Our positioning is on a centimeter accurate-level and stays operational in challenging environments such as so-called urban canyons, forests or generally in places with limited satellite signal reception. This technology facilitates a wide variety of applications, such as off-road autonomous robot activities, high-precision control of autonomous machines, and many other applications that require precise positioning.",http://www.fixposition.com,https://www.top100startups.swiss/Fixposition
148,Archilyse AG,Proptech,Machine Learning / AI,Real estate and construction,SaaS,Services for companies,,,,,,,,,,,,,,,,,May 2017,"Your plans are full of valuable information. Archilyse.one analyses and reads out this information in an understandable format, and structures it sustainably – within minutes. Using an automatically created digital twin, Archilyse.one calculates numerous simulations and benchmarks. These results create an objective and holistic picture of your property which you can use, for example, to manage vacancies and tenant turnover, acquire better assets or to reduce costs. Spare yourself long and monotonous manual assessments. You can rely on Archilyse.one, save a lot of time and therefore make better decisions more quickly.",https://www.archilyse.com/,https://www.top100startups.swiss/Archilyse
149,GRZ Technologies AG,Cleantech,Cleantech,Energy efficiency,Chemicals,Energy storage,Materials,Hightech,Renewable energy,Smart Home,"Smart Power, Green Grid",,,,,,,,,,,,January 2021,GRZ Technologies Ltd. is a company active in the field of renewable energy storage. Two products were released in 2017: a Hydrogen Compressor (HyCo) and an Advanced Gas Analysing System (AGAS). Both products are laboratory equipment for the scientific community as well as for quality control in industry. The company is also active in the development and realization of hydrogen based energy storage systems and is currently working on the build of such a pilot plant.,http://www.grz-technologies.com,https://www.top100startups.swiss/GRZ
150,ALAYA SA ,ICT,Human ressources,Internet,SaaS,Services for companies,Social networks,Software,,,,,,,,,,,,,,,January 2018,"Alaya is a global software provider enabling companies to build a purpose-driven culture and engage employees to make an impact, one act at a time. Alaya helps companies, such as BNP Paribas, PwC, and LOréal across the world, engage their employees and make an impact on todays social and environmental challenges. Alaya's Employee Purpose platform powers volunteering, donations and fundraising, and small actions to support sustainability, diversity, equity & inclusion and wellbeing.",http://alayagood.com,https://www.top100startups.swiss/ALAYA
151,AVAtronics SA,Engineering,Consumer products,Automotive,Aviation and Aerospace,Consumer,Electronics,Hightech,Instruments,Interdisciplinary,Smart Home,Gaming,Hardware,Micro technologies,Imaging and Radiology,Medical devices,Wireless,Software,Wearable technologies,,,,October 2016,"AVAtronics has developed a breakthrough, high performance, wideband Digital Active Noise Cancellation (ANC) Technology that minimizes unwanted/disruptive audio noise in products & applications such as: headphones, hearing aid, automotive, aviation and many more. Our embedded software algorithm is capable of cancelling annoying noise and provide high quality audio (e.g. music in headphone, or speech in conferencing) . It has been implemented in popular SW platforms and being demonstrated to major players in the market for a licensing agreement. Also we have created strong partnerships with market leaders (sub-component/subsystems providers) to embed our technology in their systems and be sold via their sales channels.",https://www.avatronics.com/,https://www.top100startups.swiss/AVAtronics
152,ImmoZins AG,Proptech,Finance,Fintech,Interdisciplinary,Internet,Real estate and construction,,,,,,,,,,,,,,,,April 2017,"ImmoZins offers property investors three different real estate investment models. Common to all of them is the high level of transparency, for which we developed our own software, and the assumption of risk.  With our holistic approach, we create transparency and security. We invest in all projects and are 50 percent co-owner - thus we also share the same risk. This creates trust.  With our in-house developed software solution, we are making an innovative contribution to the digitalisation of the construction industry. The complex software enables investors to follow the progress of every project in real time. Construction and sales processes are mapped precisely and as a result, it allows us to design processes more efficiently. This saves time and money.",https://immozins.ch/,https://www.top100startups.swiss/ImmoZins
153,Limula SA,Biotech,Biotech,Cancer,Drug development platforms,Hardware,Research and development,Medtech,,,,,,,,,,,,,,,November 2020,"Cell and Gene Therapy (CGT) represents a true revolution in healthcare. With over 2,000 assets in the oncology pipeline, we anticipate an explosion of the number of approved personalised therapies in the coming years. However, many patients may not benefit from these life-saving treatments because they are currently incredibly difficult and expensive to produce. To unleash the full potential of CGT, biotech needs to transition from a make-to-stock to a make-on-order strategy. Limula patented technology is composed of a self-contained manufacturing unit and single use kits, allowing healthcare providers to safely manufacture CGT in a decentralised fashion, directly at the hospital. By bringing the production closer to the patient, our solution will enable broad access to these therapies.",http://www.limula.ch,https://www.top100startups.swiss/Limula
154,Oxara AG,Proptech,Cleantech,Chemicals,Materials,Real estate and construction,,,,,,,,,,,,,,,,,October 2019,"Construction industry is using sand and gravels which are getting scarce around large cities as well as cement which contributes to greenhouse gas emissions. 5 to 10 % of global CO2 emissions come from cement, while gravel and sand weight 40% of all resources consumed by human activities. Furthermore, the resources scarcity and depletion increase the cost of the materials. Meanwhile before erecting buildings, a large amount of excavation material is removed to build foundations. This material is later landfilled but it is so abundant that it could directly replace the demand for sand, gravel and its composition is often close to earth which has been used as a vernacular construction material all over the world for centuries. The technology proposed by Oxara is simply to process the excava",https://oxara.ch/,https://www.top100startups.swiss/Oxara
155,Scailyte AG,Biotech,Bioinformatics,Big Data,Biotech,Cancer,Digital Health,Diagnostics,Machine Learning / AI,Software,,,,,,,,,,,,,June 2017,"Scailyte is an ETH Zürich spin-off with a best-in-class artificial intelligence platform for the discovery of complex disease patterns from single-cell data. Our solution provides unprecedented insight into diseases and enables ultra-sensitive diagnostics by uncovering human's hidden ""single-cell""? secrets. The performance and clinically-relevant application of Scailyte's platform ScaiVision have been demonstrated in numerous clinical projects that resulted in patent-pending biomarkers. Scailyte has a growing pipeline of clinical projects in immunology, oncology and women's health supported by  top clinicians and access to high quality proprietary datasets",http://www.scailyte.com,https://www.top100startups.swiss/Scailyte
156,Workspace2go AG ,Proptech,Marketplace,Services for companies,Services for consumers,,,,,,,,,,,,,,,,,,September 2016,"Workspace2go is the leading Swiss marketplace for meeting rooms, desks and workshop locations. Through our platform, space providers list their spaces, which guests can book for their meetings – Workspace2go works like ‘Airbnb’, just for business rooms. In 2016 we launched the first version of our platform. With more than 1000 bookable spaces in over 100 Swiss cities and a total number of bookings that has exceeded the 10’000 bookings mark, we have become the leading Swiss marketplace for hourly and daily bookings of meeting rooms and workshop locations.",https://workspace2go.com,https://www.top100startups.swiss/Workspace2go
157,SONECT AG,Fintech,Applications,Finance,Fintech,Internet,Mobile,Tackle COVID-19,,,,,,,,,,,,,,,August 2016,"Sonect, a Zurich-based fintech start-up, was founded in 2016 and employs 30 people in Zurich, Vilnius, and Mexico City. Through Sonect, every cash register can become an ATM, and thanks to the Sonect-App, cash withdrawals are simpler and more cost-efficient than ever before by withdrawing cash directly in the shop. With over 2300 Sonect shops, Sonect is already the largest ATM network provider in Switzerland and in the midst of its European and Mexican expansion. Sonect's solution democratizes the process of cash distribution so that a significant portion of the value chain can be eliminated. Or put differently: What Uber is to taxis, Airbnb is to hotels, Sonect is to ATMs.",https://www.sonect.net,https://www.top100startups.swiss/SONECT
158,Versantis AG,Biotech,Biotech,Drug discovery,,,,,,,,,,,,,,,,,,,March 2015,"Versantis is a global, clinical-stage pharmaceutical company addressing the growing, un-met medical need in liver diseases. Our lead program VS-01 leverages our proprietary scavenging liposomes technology to timely reverse the multi-organ complications arising from liver cirrhosis. It was shown to be safe and well tolerated in a Ph1b study with positive efficacy outcomes, and is now ready to start Phase 2a clinical investigations. VS-01 was granted orphan drug designations by the FDA and EMA, which help streamlining its clinical development pathway.",http://www.versantis.ch,https://www.top100startups.swiss/Versantis
159,Gamaya SA,Robotics,Big Data,Cloud,Machine Learning / AI,SaaS,Services for companies,Software,,,,,,,,,,,,,,,January 2015,"Gamaya provides the crop specialists with an automated agronomic crop insights based on the combination of Remote Sensing and Artificial Intelligence. Unlike many of the competitors we are able to diagnose the crop conditions precisely and at the large scale. Our crop insights services help industrial farmers increase operational efficiency and crop yields, optimise costs and reducing environmental impact.",http://gamaya.com,https://www.top100startups.swiss/Gamaya
160,Insolight SA,Cleantech,AgriTech,Cleantech,Energy production,Renewable energy,Solar,,,,,,,,,,,,,,,,August 2015,"Insolight is developing next-generation solar modules. Insolight has established a world record efficiency of more than 29% for a flat solar panels, as certified by IES-UPM. The company has successfully taken the technology out of the lab and proved its robustness in real weather conditions. The Series A round (CHF 5 Mio) closed in July 2020 has enabled the start of commercialisation of the modules, with the production outsourced to external manufacturers. Insolight intends to sell first modules to large solar energy corporates for applications in agrivoltaics. There is a unique potential (CHF 700 Mio market) for high efficiency and translucent modules to produce both solar electricity and crops on the land, whether deployed on fields or greenhouses.",https://insolight.ch/,https://www.top100startups.swiss/Insolight
161,Crypto Finance AG,Fintech,Blockchain,Finance,Fintech,Trading,,,,,,,,,,,,,,,,,June 2017,"Crypto Finance AG provides blockchain-related services through its three subsidiaries: Crypto Fund AG (Asset Management), building a bridge between the traditional financial world and the emerging crypto asset markets. Crypto Fund AG offers qualified investors direct, convenient and transparent exposure to the emerging crypto asset class. Crypto Fund AG is the first, and only, FINMA-regulated asset manager in Switzerland for crypto asset funds. Crypto Broker AG provides crypto prime and agency brokerage and compliance services to qualified and institutional investors, offering professional, 24/7 crypto trading services. Crypto Storage AG offers proprietary infrastructure solutions for financial intermediaries and professional entities to enable top-tier storage for digital assets.",https://www.cryptofinance.ch,https://www.top100startups.swiss/CryptoFinance
162,Bring! Labs AG,ICT,Ecommerce,Mobile,,,,,,,,,,,,,,,,,,,April 2015,"Bring! simplifies grocery shopping for millions of people. With shared shopping lists, integrated recipes, online shopping, local offers and loyalty cards, Bring! app combines every step along the shopping process on one platform: inspiration, planning and the final purchase. No matter whether online or offline at the market: Bring! helps users around the world save time, money and energy while organising their grocery shopping.Bring! Labs AG was founded by Marco Cerqui and Sandro Strebel in April 2015, has 50 employees and offices spread over the locations Zurich and Basel in Switzerland as well as Berlin and Cologne/Bonn in Germany.",https://www.getbring.com/#!/app,https://www.top100startups.swiss/Bring
163,Avrios International AG,ICT,Applications,Automotive,Cloud,Enterprise,Internet,SaaS,Software,,,,,,,,,,,,,,February 2015,"Our SaaS platform helps companies provide tailored transportation to its employees and thus enables them to attract top talent while keeping their transportation expenditures under control. Fuelled by a passionate, driven and hard-working team, backed by leading venture capital investors and supported by a high calibre board of directors, Avrios is looking to continue this growth journey and help hundreds of thousands of people in Europe move seamlessly.",http://www.avrios.com,https://www.top100startups.swiss/Avrios
164,Loanboox GmbH,Fintech,Finance,Fintech,Internet,Software,,,,,,,,,,,,,,,,,April 2018,"Loanboox is the leading debt financing platform, which makes financing and investing simpler, more transparent, more secure and reduces costs. Its clients are public-sector authorities, banks, large corporations and institutional investors. Spread over six countries (Switzerland, Germany, Austria, France, Liechtenstein and the Netherlands), more than 61 billion Swiss francs were requested through Loanboox since its Go-Live in 2016, 3000 organisations are on Loanboox. The high Net Promoter Score of over 80/100, putting Loanboox into the top 1% worldwide, shows how happy Loanboox users are with its service. Furthermore, Loanboox was named #2 best employer in financial services in CH.",http://loanboox.ch,https://www.top100startups.swiss/Loanboox
165,PharmaBiome AG,Biotech,Biotech,,,,,,,,,,,,,,,,,,,,February 2015,"PharmaBiome develops a pipeline for the use of beneficial gut bacteria as an innovative, standardized and safe therapeutic product to treat diseases caused by functional deficiencies in the microbiome (i.e. gut flora), with an initial focus on  ulcerative colitis (UC). Using its proprietary technology platform including isolation, cultivation and rational assembly of intestinal bacterial mixtures, PharmaBiome develops tailored microbiome products. The flexibility and speed of development are a unique advantage to penetrate the multibillion markets of untreatable intestinal diseases.",http://www.pharmabiome.com/,https://www.top100startups.swiss/PharmaBiome
166,DeepCode AG ,ICT,Big Data,Cloud,Internet,Open source,Software,,,,,,,,,,,,,,,,June 2016,"As dependence on software increases and penetrates every area of modern life, so is the importance of ensuring that software is written in a way that makes it easy to maintain and adapt, while being reliable and efficient.We address this challenge via a novel Big Data approach. Here, we automatically learn from millions of available software programs (publicly, or in a company setting), and use this knowledge to make key suggestions on how to construct, change or modify new programs.Our data-driven technology means that software is no longer developed from scratch  DeepCode enables developers to tap into and benefit from the massive effort already spent in creating existing open source software, thus greatly increasing overall software quality.Our technology differs from ex",https://www.deepcode.ai/,https://www.top100startups.swiss/DeepCode
167,ONWARD Medical SA,Biotech,Diagnostics,Robotics,Patient monitoring,Rehab,,,,,,,,,,,,,,,,,December 2014,"ONWARD is a medical technology company creating innovative therapies to restore movement, independence, and health in people with spinal cord injury. ONWARD's work builds on more than a decade of basic science and preclinical research conducted at the world's leading neuroscience laboratories. ONWARD's ARC Therapy is designed to deliver targeted, programmed stimulation of the spinal cord to restore movement and other functions in people with spinal cord injury. The company's first FDA pivotal trial, called Up-LIFT, commenced in January 2021 with plans to enroll 65 subjects at up to 15 centers worldwide. ONWARD is headquartered at the High Tech Campus in Eindhoven, the EPFL Innovation Park in Lausanne, with a growing presence in Boston.",https://www.onwd.com/,https://www.top100startups.swiss/Onward
168,Sevensense Robotics AG,Robotics,Electronics,Hightech,Mobility,Robotics,Sensors,,,,,,,,,,,,,,,,September 2018,"We at Sevensense have made it our mission to fundamentally revolutionize entire industries. With our innovative solutions, we make everyday service vehicles - from forklifts to cleaning machines - move independently and safely in dynamic indoor and outdoor spaces full of people.  Repetitive, dangerous and unhygienic work in airports, railway stations, construction sites or department stores will soon be carried out by robots equipped with our technology. This way Sevensense can not only contribute to making human workplaces more interesting and safer thanks to the support of robots, but also to making operational processes more efficient and cost-effective.",http://www.sevensense.ch,https://www.top100startups.swiss/Sevensense
169,INVOLI SA,ICT,Applications,Aviation and Aerospace,Big Data,Communications,Cloud,Drones,Electronics,Hightech,Mobility,Interdisciplinary,Machine Learning / AI,Robotics,Sensors,Open source,Software,,,,,,July 2017,"INVOLI is a multi-award-winning Swiss company with a mission to safely and efficiently open the sky to all flying objects. INVOLI presents a paradigm shift in providing the currently missing air traffic data to drones: only by knowing where other aircraft may come from can one avoid it. Thus “giving eyes to drones” will facilitate their safe integration into an increasingly busy sky, enabling drones to avoid any other flying objects when on a collision course (airplanes, helicopters, drones, parachutists etc.). INVOLI is part of the Swiss U-Space Implementation, nation-wide collaborative effort for safely integrating drones into the airspace, led by the Swiss Civil Aviation Authority and Swiss Air Navigation Service Provider skyguide, alongside a growing group of industry stakeholders.",http://www.involi.com,https://www.top100startups.swiss/INVOLI
170,Nomoko AG,ICT,Big Data,Mobility,IoT,Real estate and construction,Software,,,,,,,,,,,,,,,,June 2015,"We are a digital twin company with the goal of unlocking the power of digital twins one industry at a time.Today, our focus lies in bringing our first digital twin solution into the real estate industry and to disrupt the real estate investment and real estate management workflow with a digital-first solution.",http://www.nomoko.world,https://www.top100startups.swiss/Nomoko
171,Apiax AG,Fintech,Big Data,Finance,Fintech,Legal services,Machine Learning / AI,SaaS,Services for companies,Software,,,,,,,,,,,,,May 2017,"Apiax’s embedded compliance solution enables financial institutions to make critical decisions faster, delivering answers to their most pressing regulatory questions right in the tools and applications they already use. It’s the easiest, fastest way for highly regulated entities to put the client at the heart of business operations. Financial institutions around the world use Apiax to embed compliance into their applications and processes. It helps them overcome regulatory challenges, realise business opportunities, and reduce the cost of compliance.",http://www.apiax.com,https://www.top100startups.swiss/Apiax
172,Olympe SA,ICT,Applications,Big Data,Cloud,Enterprise,IoT,Marketplace,Mobile,SaaS,Software,,,,,,,,,,,,November 2015,"Olympe is a software editor scale-up based in Lausanne, Switzerland. Its mission is to deliver the best composition platform in the market and ensure adoption within large enterprises. A composition platforms massively reduces time to value for custom software development by combining data integration and application development while leveraging low-code features. Thanks to its unique 'code as data' technology, Olympe has been rewarded with various Swiss and European recognitions.",https://olympe.io,https://www.top100startups.swiss/Olympe
173,GUURU Solutions AG,ICT,Enterprise,Machine Learning / AI,SaaS,Tackle COVID-19,,,,,,,,,,,,,,,,,October 2015,"GUURU's cloud-based customer interaction solution helps companies meet today's requirements in customer support: fully scalable, 24/7 and instant live chat support on all digital channels. Through AI-driven smart routing, incoming support questions are sent as push notifications to either certified product users – so-called Guurus – who share their knowledge and expertise with support seeking customers; or to the GUURU SmartBot for automated answers. With the help of machine learning, he SmartBot knowledge base constantly grows by processing the content of the peer-to-peer live chat content. This not only saves costs, but also improves the quality of service and response speed, while boosting sales.",https://www.guuru.com,https://www.top100startups.swiss/guuru
174,T3 Pharmaceuticals AG,Biotech,Biotech,Cancer,,,,,,,,,,,,,,,,,,,May 2015,"The vision of T3 Pharmaceuticals Ltd is to improve the lives of cancer patients by developing very specific and efficient therapies using live bacteria. The Company was founded in May 2015 as a spin-off of the University of Basel. T3 Pharma is developing an efficient protein delivery technology that is based on the use of live bacteria expressing the type 3 secretion system. While the technology has a wide spectrum of applications in drug development, T3 Pharma has been advancing the platform as a novel therapeutic approach to treat solid tumors.",http://www.t3pharma.com,https://www.top100startups.swiss/T3
175,Topadur Pharma AG,Biotech,Biotech,Drug discovery,Research and development,Small molecule drugs,Wound management,,,,,,,,,,,,,,,,March 2015,"TOPADUR is a a clinical-stage biopharmaceutical start-up company developing disruptive therapies for aging diseases. The company developed the DualTOP™ technology platform consisting of new dual-acting drugs that increase the levels of cGMP to stimulate microcirculation, enable tissue regeneration, and avoid local oxygen deficiency. TOPADUR’s R&D portfolio consists of promising candidates in regenerative medicine, oncology, ophthalmology and medical aesthetics. The DualTOP™ technology will contribute to promoting long healthy life.",http://www.topadur.com,https://www.top100startups.swiss/Topadur
176,Nexxiot AG,Engineering,Applications,Communications,Electronics,Hightech,Enterprise,Sensors,Wireless,Services for companies,,,,,,,,,,,,,March 2015,"Nexiot is a spin-off company from ETH Zürich, one of the worlds top technical universities. Our company is built on over 10 years of research in complex systems, big data algorithms and ultra low-power embedded technology. Our power independent communication solution has operations and sensors fully integrated. This means remote connectivity is coupled with powerful business logic and interfaces to enterprise software to facilitate mission critical information management.",https://www.nexxiot.com,https://www.top100startups.swiss/Nexxiot
177,Synple Chem AG,Biotech,Drug development platforms,Instruments,Drug discovery,Small molecule drugs,,,,,,,,,,,,,,,,,September 2016,"Synple Chem has developed an automated reagent cartridge based syntheszier for chemcial structures for chemical laboratories e.g. drug discovery laboratories, which works in analogy to a very well known coffee capsule system. With our device researchers can synthesize new molecules much faster, cheaper and more efficient than with manual methods. This has the potential to speed up drug discovery cycles to bring new medicines faster to the patient.",http://www.synplechem.com,https://www.top100startups.swiss/Synple
178,Procsea SA,Foodtech,AgriTech,Big Data,Cloud,Ecommerce,Food,SaaS,Software,,,,,,,,,,,,,,April 2016,"ProcSea is the digital partner of the Seafood industry.  We believe in a future where the resource is protected, where food safety is ensured and where the trade of fresh products is simple, fluid and transparent This is why we have developed since 2016 a modern and innovative technology platform that connects B2B actors to each other in order to improve the daily life of operators in the sector, make data more reliable and structured, and strengthen product traceability.  ProcSea makes its technology available to the major players in the Seafood Sector (central purchasing offices, large-scale distribution...) to support them in their digital transition.",http://www.procsea.com,https://www.top100startups.swiss/Procsea
179,xorlab AG,Security,Enterprise,SaaS,Security,Software,,,,,,,,,,,,,,,,,July 2015,"xorlab helps enterprises prevent communication and collaboration-based threats like e.g. ransomware, phishing, business email compromise with their machine-intelligent SaaS defense platform ActiveGuard. Founded in 2015 and spun out of ETH’s Laboratory for Software Technology, xorlab has grown to a team of 15 dedicated security professionals and passionate software engineers. Their technology is currently used by renowned Swiss and German companies to defend against email-based cyber attacks.The product vision aims to provide a comprehensive security layer for modern organizations to cover all communication and collaboration-based threats by securing also services e.g. like Slack, Teams, Zoom or Confluence.",https://www.xorlab.com,https://www.top100startups.swiss/xorlab
180,INPHER Sàrl,Security,Applications,Big Data,Cloud,Digital Health,Enterprise,Fintech,Machine Learning / AI,SaaS,Security,Software,,,,,,,,,,,July 2015,"Inpher is a FinTech startup based in New York and Switzerland. We have recently emerged from stealth mode with investors from San Fransisco, New York, Switzerland and currently seek broader feedback on our technology for secure computation and machine learning on private or confidential data without seeing the underlying information. It has broad applications in financial and payment services for secure data exchanges, fraud detection and predictive analytics. Use cases include allowing data science teams to run algorithms on previously inaccessible private information or even monetize data by allowing third parties to run computations without seeing the data itself.",https://www.inpher.io/,https://www.top100startups.swiss/INPHER
181,Elthera AG,Biotech,Antibodies,Biotech,Cancer,Diagnostics,Protein drugs,,,,,,,,,,,,,,,,February 2016,"Elthera AG is developing antibodies against the novel target L1CAM, an adhesion molecule whose expression is strongly correlated with an aggressive tumor phenotype and poor prognosis in various types of cancer. Inhibition of L1CAM targets many mechanisms of tumor progression such as resistance to chemotherapy, escape from immunological control, formation of new blood vessels, tumor growth and metastases formation. By combining targeted anti-L1CAM therapy with companion diagnostics, Elthera will provide personalized treatment for patients with aggressive malignancies.The therapies are using two approaches for an enhanced anti-cancer effect by distinct mechanisms of action: a T cell engaging anti-L1CAMxCD3 bispecific antibody and an antibody-drug conjugate for targeted tumor cell killing",http://www.elthera.com,https://www.top100startups.swiss/Elthera
182,Instimatch Global AG,Fintech,Applications,Blockchain,Cloud,Finance,Fintech,Internet,Marketplace,Services for companies,Social networks,Trading,,,,,,,,,,,September 2017,"At Instimatch Global we create a state of the art trading network for institutional money market participants across the globe. Our P2P network enables clients to access a diverse set of counterparties across countries and sectors. We leverage market information with AI on a DLT based network, to provide clients with the best financial products and help them to put liquidity to work efficiently. Our global community includes multinational corporations, banks, pension funds, asset manager, municipalities, and family offices.",http://www.instimatch.com,https://www.top100startups.swiss/InstimatchGlobal
183,Pregnolia AG,Medtech,Diagnostics,Medtech,,,,,,,,,,,,,,,,,,,January 2016,"pregnolia is a women’s health medtech company, developing a diagnostic device to accurately predict the risk of premature birth during routine pregnancy consultation. Early diagnosis enables preventive intervention to prolong gestation and improve neonatal health outcome. pregnolia’s proprietary technology addresses both the health and economic challenges of preterm birth.",http://www.pregnolia.com,https://www.top100startups.swiss/Pregnolia
184,RAW Labs SA,ICT,Enterprise,Software,,,,,,,,,,,,,,,,,,,February 2015,"RAW Labs SA tames the exponential growth of Big Data through innovative tools which federate and query raw data in-situ. RAW Labs empowers enterprises to use their resources wisely and discover how their data can be useful before investing in it. A full portfolio of data exploration, analysis, and mining tools are customized to the customer's needs and practices, and integrated in currently used environments. Our technologies build a superhighway to your data, enabling unlimited discovery while minimizing computer and storage needs.",https://www.raw-labs.com/,https://www.top100startups.swiss/RAW
185,TestingTime AG,ICT,Consumer,Enterprise,Internet,Mobile,Services for companies,Software,,,,,,,,,,,,,,,January 2015,"We support UX and market researchers by making test user recruiting easy, fast, and hassle-free. Thanks to our pool of more than 500,000 test users, we're able to deliver any profile within 48 hours. By making the task of conducting research become lighter and thus more regular, we hope to someday achieve our vision: a world full of happy users.",https://www.testingtime.com,https://www.top100startups.swiss/TestingTime
186,holo one AG,ICT,AR/VR/MR,Enterprise,IoT,Mobile,Real estate and construction,Services for companies,,,,,,,,,,,,,,,August 2016,"holo|one is a Swiss startup with 14 employees that has developed sphere, a standardized augmented reality platform for enterprises. The solution is easy to use and integrate into company processes and covers all common augmented reality use case in one platform, namely remote support, collaboration and workflow support.",https://holo-one.com,https://www.top100startups.swiss/holo
187,Seervision AG,Engineering,Applications,AR/VR/MR,Big Data,Cloud,Electronics,Hightech,Mechanics,Machine Learning / AI,Optics,Robotics,Media,Sensors,Services for companies,SaaS,Sport,Tackle COVID-19,Software,,,,September 2016,"Seervision is developing automation tools for live corporate video production. The startup’s technology stack consists of video analysis and real-time frame optimization modules and is compatible with most existing industry cameras.  Clients are able to execute live productions effortlessly and improve the overall quality of the output all while keeping costs in check.  The company closed its first financing round in the end of 2018, consequently acquiring its first international clients in 2019. An ETH spin-off, Seervision has now grown to 25 employees and is rapidly gaining industry recognition through lighthouse clients and awards such as the Swiss Technology Award and the Product of the Year awarded at the NAB conference in Las Vegas in April 2019.",https://seervision.com,https://www.top100startups.swiss/Seervision
188,ASPIVIX SA,Medtech,Mechanics,Micro technologies,Medical devices,Medtech,Surgery,Urology,,,,,,,,,,,,,,,July 2015,"Every year more than 90M women worldwide experience pain, bleeding and tissue tear when undergoing common gynecological procedures that require uterus access. This trauma is generated by the Cervical Tenaculum, an instrument with sharp hooks that pinch the cervix to generate traction.  ASPIVIX is changing that by developing a next-generation suction-based cervical device that delivers the same manoeuvrability as the tenaculum without the reported patient trauma. This device is ideal to help address unplanned pregnancies, considered one of the most significant global public health issues, by increasing the adoption of Intrauterine Contraceptive Devices (IUD), the most effective reversible contraceptive option available today.",http://www.aspivix.com,https://www.top100startups.swiss/ASPIVIX
